1262	926719939139502781.wav	شارەکانی هارەپ و مۆهێنجۆ-دارۆ لە نزیکەی هەموو خانوویەک توالێتیان هەبووە کە پەیوەست بووە بە سیستەمێکی ئاڵۆزی ئاوەڕۆ.	شارەکانی هارەپ و مۆهێنجۆ-دارۆ لە نزیکەی هەموو خانوویەک توالێتیان هەبووە کە پەیوەست بووە بە سیستەمێکی ئاڵۆزی ئاوەڕۆ	ش ا ر ە ک ا ن ی | ه ا ر ە پ | و | م ۆ ه ێ ن ج ۆ - د ا ر ۆ | ل ە | ن ز ی ک ە ی | ه ە م و و | خ ا ن و و ی ە ک | ت و ا ل ێ ت ی ا ن | ه ە ب و و ە | ک ە | پ ە ی و ە س ت | ب و و ە | ب ە | س ی س ت ە م ێ ک ی | ئ ا ڵ ۆ ز ی | ئ ا و ە ڕ ۆ |	185280	FEMALE
560	11837894938923120426.wav	پرۆتۆنەکان بارگەی کارەبایی ئەرێنیان هەیە لە کاتێکدا نیوترۆنەکان هیچ بارگەیەکیان نییە. ئەلکترۆنەکان بارێکی کارەبایی سالبیان هەیە.	پرۆتۆنەکان بارگەی کارەبایی ئەرێنیان هەیە لە کاتێکدا نیوترۆنەکان هیچ بارگەیەکیان نییە ئەلکترۆنەکان بارێکی کارەبایی سالبیان هەیە	پ ر ۆ ت ۆ ن ە ک ا ن | ب ا ر گ ە ی | ک ا ر ە ب ا ی ی | ئ ە ر ێ ن ی ا ن | ه ە ی ە | ل ە | ک ا ت ێ ک د ا | ن ی و ت ر ۆ ن ە ک ا ن | ه ی چ | ب ا ر گ ە ی ە ک ی ا ن | ن ی ی ە | ئ ە ل ک ت ر ۆ ن ە ک ا ن | ب ا ر ێ ک ی | ک ا ر ە ب ا ی ی | س ا ل ب ی ا ن | ه ە ی ە |	184320	MALE
99	8949137499934421963.wav	لە باشوری فێربانکس لە ئالاسکا، ٨٠٠ میل لە سیستەمی بۆریی داخرا کە بەناو ئالاسکادا دەڕوات بەهۆی لێچوونی هەزاران بەرمیل لە نەوتی خاوەوە.	لە باشوری فێربانکس لە ئالاسکا، ٨٠٠ میل لە سیستەمی بۆریی داخرا کە بەناو ئالاسکادا دەڕوات بەهۆی لێچوونی هەزاران بەرمیل لە نەوتی خاوەوە	ل ە | ب ا ش و ر ی | ف ێ ر ب ا ن ک س | ل ە | ئ ا ل ا س ک ا ، | ٨ ٠ ٠ | م ی ل | ل ە | س ی س ت ە م ی | ب ۆ ر ی ی | د ا خ ر ا | ک ە | ب ە ن ا و | ئ ا ل ا س ک ا د ا | د ە ڕ و ا ت | ب ە ه ۆ ی | ل ێ چ و و ن ی | ه ە ز ا ر ا ن | ب ە ر م ی ل | ل ە | ن ە و ت ی | خ ا و ە و ە |	164160	FEMALE
1361	9657805263967714906.wav	دەکرێت درێژ بکرێت بۆ وایەرێکی تەنک و پاشان لول بکرێت و بکرێتە پرچ. یان بە چەکوش لێی بدرێت یان بکرێتە لولەک.	دەکرێت درێژ بکرێت بۆ وایەرێکی تەنک و پاشان لول بکرێت و بکرێتە پرچ یان بە چەکوش لێی بدرێت یان بکرێتە لولەک	د ە ک ر ێ ت | د ر ێ ژ | ب ک ر ێ ت | ب ۆ | و ا ی ە ر ێ ک ی | ت ە ن ک | و | پ ا ش ا ن | ل و ل | ب ک ر ێ ت | و | ب ک ر ێ ت ە | پ ر چ | ی ا ن | ب ە | چ ە ک و ش | ل ێ ی | ب د ر ێ ت | ی ا ن | ب ک ر ێ ت ە | ل و ل ە ک |	178560	MALE
465	9808509020441517644.wav	قەڵا تەقلیدیەکەی چەرخەکانی ناوەڕاست ئیلهابەخشی خەیاڵکردن بووە، کە وێنەی زۆرانبازی و سوراچاکی ئارسەری خەیاڵدەکات.	قەڵا تەقلیدیەکەی چەرخەکانی ناوەڕاست ئیلهابەخشی خەیاڵکردن بووە کە وێنەی زۆرانبازی و سوراچاکی ئارسەری خەیاڵدەکات	ق ە ڵ ا | ت ە ق ل ی د ی ە ک ە ی | چ ە ر خ ە ک ا ن ی | ن ا و ە ڕ ا س ت | ئ ی ل ه ا ب ە خ ش ی | خ ە ی ا ڵ ک ر د ن | ب و و ە | ک ە | و ێ ن ە ی | ز ۆ ر ا ن ب ا ز ی | و | س و ر ا چ ا ک ی | ئ ا ر س ە ر ی | خ ە ی ا ڵ د ە ک ا ت |	192960	FEMALE
1228	13040454619288038441.wav	کۆتا یاریی بوو بۆ یانەی ئۆڵ بلاکس کە دوو هەفتە لەوەوپێش جامەکەیان بردبۆوە.	کۆتا یاریی بوو بۆ یانەی ئۆڵ بلاکس کە دوو هەفتە لەوەوپێش جامەکەیان بردبۆوە	ک ۆ ت ا | ی ا ر ی ی | ب و و | ب ۆ | ی ا ن ە ی | ئ ۆ ڵ | ب ل ا ک س | ک ە | د و و | ه ە ف ت ە | ل ە و ە و پ ێ ش | ج ا م ە ک ە ی ا ن | ب ر د ب ۆ و ە |	115200	FEMALE
288	15208351052330484884.wav	بەرپرسی نوێی پشکنەری باشووری وێیڵزیRSPCA ‎ دەیڤید ئۆشانسی بە کەناڵی "ئەی بی سی" ڕاگەیاند کە دەبێت چاودێری و پشکنینی سەربڕخانەکان لە ئوسترالیادا شتێکی ئاسایی بێت.	بەرپرسی نوێی پشکنەری باشووری وێیڵزیrspca ‎ دەیڤید ئۆشانسی بە کەناڵی ئەی بی سی ڕاگەیاند کە دەبێت چاودێری و پشکنینی سەربڕخانەکان لە ئوسترالیادا شتێکی ئاسایی بێت	ب ە ر پ ر س ی | ن و ێ ی | پ ش ک ن ە ر ی | ب ا ش و و ر ی | و ێ ی ڵ ز ی r s p c a | ‎ | د ە ی ڤ ی د | ئ ۆ ش ا ن س ی | ب ە | ک ە ن ا ڵ ی | ئ ە ی | ب ی | س ی | ڕ ا گ ە ی ا ن د | ک ە | د ە ب ێ ت | چ ا و د ێ ر ی | و | پ ش ک ن ی ن ی | س ە ر ب ڕ خ ا ن ە ک ا ن | ل ە | ئ و س ت ر ا ل ی ا د ا | ش ت ێ ک ی | ئ ا س ا ی ی | ب ێ ت |	288960	MALE
1002	362434470674403061.wav	وێنەگرەکە بۆ ناوەندی پزیشکی ڕۆناڵد ڕیگان UCLA گوازرایەوە و دواتر گیانی لەدەستدا‎.	وێنەگرەکە بۆ ناوەندی پزیشکی ڕۆناڵد ڕیگان ucla گوازرایەوە و دواتر گیانی لەدەستدا‎	و ێ ن ە گ ر ە ک ە | ب ۆ | ن ا و ە ن د ی | پ ز ی ش ک ی | ڕ ۆ ن ا ڵ د | ڕ ی گ ا ن | u c l a | گ و ا ز ر ا ی ە و ە | و | د و ا ت ر | گ ی ا ن ی | ل ە د ە س ت د ا ‎ |	165120	MALE
371	13442220496091774280.wav	ئەم ڕووەکانە لە دارخورمایەکی بچووک دەچن کە تاجێکی گەڵای تیژ و بەتامی تیژیان هەیە.	ئەم ڕووەکانە لە دارخورمایەکی بچووک دەچن کە تاجێکی گەڵای تیژ و بەتامی تیژیان هەیە	ئ ە م | ڕ و و ە ک ا ن ە | ل ە | د ا ر خ و ر م ا ی ە ک ی | ب چ و و ک | د ە چ ن | ک ە | ت ا ج ێ ک ی | گ ە ڵ ا ی | ت ی ژ | و | ب ە ت ا م ی | ت ی ژ ی ا ن | ه ە ی ە |	135360	MALE
1251	6227348839216163236.wav	هەموو کەسێك دەتوانێت بیرڕووناکی بەدەستبێنێت. تاکە شت لەبەر دەم ئەم ئامانجەدا گرژێتی و نەڕێنی خوودی کەسەکانە.	هەموو کەسێك دەتوانێت بیرڕووناکی بەدەستبێنێت تاکە شت لەبەر دەم ئەم ئامانجەدا گرژێتی و نەڕێنی خوودی کەسەکانە	ه ە م و و | ک ە س ێ ك | د ە ت و ا ن ێ ت | ب ی ر ڕ و و ن ا ک ی | ب ە د ە س ت ب ێ ن ێ ت | ت ا ک ە | ش ت | ل ە ب ە ر | د ە م | ئ ە م | ئ ا م ا ن ج ە د ا | گ ر ژ ێ ت ی | و | ن ە ڕ ێ ن ی | خ و و د ی | ک ە س ە ک ا ن ە |	193920	MALE
