830	13657089633117249227.wav	Местото за проверка за влез е најчесто првата попатна станица кога се симнувате од авион, брод или друго возило.	местото за проверка за влез е најчесто првата попатна станица кога се симнувате од авион брод или друго возило	м е с т о т о | з а | п р о в е р к а | з а | в л е з | е | н а ј ч е с т о | п р в а т а | п о п а т н а | с т а н и ц а | к о г а | с е | с и м н у в а т е | о д | а в и о н | б р о д | и л и | д р у г о | в о з и л о |	124800	FEMALE
800	16228042547457007352.wav	Лосот (исто познат како елен) не е агресивен по природа, но ќе се одбрани ако осети закана.	лосот исто познат како елен не е агресивен по природа но ќе се одбрани ако осети закана	л о с о т | и с т о | п о з н а т | к а к о | е л е н | н е | е | а г р е с и в е н | п о | п р и р о д а | н о | ќ е | с е | о д б р а н и | а к о | о с е т и | з а к а н а |	138240	FEMALE
498	11720946914053539275.wav	Станале вешти во ампутирање при спасување пациенти од гангрена, како и во ставање тврди завои и артериски фаќалки за запирање на крвотокот.	станале вешти во ампутирање при спасување пациенти од гангрена како и во ставање тврди завои и артериски фаќалки за запирање на крвотокот	с т а н а л е | в е ш т и | в о | а м п у т и р а њ е | п р и | с п а с у в а њ е | п а ц и е н т и | о д | г а н г р е н а | к а к о | и | в о | с т а в а њ е | т в р д и | з а в о и | и | а р т е р и с к и | ф а ќ а л к и | з а | з а п и р а њ е | н а | к р в о т о к о т |	152640	MALE
69	11569144153094777295.wav	Станарите во Локвуд Гарденс сметаат дека може да има 40 семејства или повеќе кои се соочуваат со иселување, бидејќи дознале дека полицијата ОХА истражува и други недвижнини за јавно домување во Оукленд, кои може да се вмешани во станбената измама.	станарите во локвуд гарденс сметаат дека може да има 40 семејства или повеќе кои се соочуваат со иселување бидејќи дознале дека полицијата оха истражува и други недвижнини за јавно домување во оукленд кои може да се вмешани во станбената измама	с т а н а р и т е | в о | л о к в у д | г а р д е н с | с м е т а а т | д е к а | м о ж е | д а | и м а | 4 0 | с е м е ј с т в а | и л и | п о в е ќ е | к о и | с е | с о о ч у в а а т | с о | и с е л у в а њ е | б и д е ј ќ и | д о з н а л е | д е к а | п о л и ц и ј а т а | о х а | и с т р а ж у в а | и | д р у г и | н е д в и ж н и н и | з а | ј а в н о | д о м у в а њ е | в о | о у к л е н д | к о и | м о ж е | д а | с е | в м е ш а н и | в о | с т а н б е н а т а | и з м а м а |	407040	MALE
1376	8032168143342831521.wav	Филмот, во којшто главните улоги ги играа Рајан Гослинг и Ема Стоун, беше номиниран за сите поголеми категории.	филмот во којшто главните улоги ги играа рајан гослинг и ема стоун беше номиниран за сите поголеми категории	ф и л м о т | в о | к о ј ш т о | г л а в н и т е | у л о г и | г и | и г р а а | р а ј а н | г о с л и н г | и | е м а | с т о у н | б е ш е | н о м и н и р а н | з а | с и т е | п о г о л е м и | к а т е г о р и и |	115200	MALE
984	12938091175557181854.wav	Птичјиот грип, формално познат како авијарна инфлуенца, може да ги зарази и птиците и цицачите.	птичјиот грип формално познат како авијарна инфлуенца може да ги зарази и птиците и цицачите	п т и ч ј и о т | г р и п | ф о р м а л н о | п о з н а т | к а к о | а в и ј а р н а | и н ф л у е н ц а | м о ж е | д а | г и | з а р а з и | и | п т и ц и т е | и | ц и ц а ч и т е |	149760	MALE
196	3925477998139830402.wav	Маса нема да се натпреварува барем до крајот на сезоната 2009.	маса нема да се натпреварува барем до крајот на сезоната 2009	м а с а | н е м а | д а | с е | н а т п р е в а р у в а | б а р е м | д о | к р а ј о т | н а | с е з о н а т а | 2 0 0 9 |	81600	FEMALE
218	10191154942890731144.wav	Сепак, целиот ИОК мора да ги ратификува гласовите на состанокот во Копенхаген во октомври.	сепак целиот иок мора да ги ратификува гласовите на состанокот во копенхаген во октомври	с е п а к | ц е л и о т | и о к | м о р а | д а | г и | р а т и ф и к у в а | г л а с о в и т е | н а | с о с т а н о к о т | в о | к о п е н х а г е н | в о | о к т о м в р и |	135360	MALE
337	3250373674833225448.wav	За крај, турската танцувачка група Fire of Anatolia го изведе шоуто „Троја“.	за крај турската танцувачка група fire of anatolia го изведе шоуто троја	з а | к р а ј | т у р с к а т а | т а н ц у в а ч к а | г р у п а | f i r e | o f | a n a t o l i a | г о | и з в е д е | ш о у т о | т р о ј а |	97920	FEMALE
1248	7150502571720662161.wav	Така и читањето е полесно, иако пишувањето некако се комплицира со потребата да знаете дали еден глагол или придавка се користи во именска форма.	така и читањето е полесно иако пишувањето некако се комплицира со потребата да знаете дали еден глагол или придавка се користи во именска форма	т а к а | и | ч и т а њ е т о | е | п о л е с н о | и а к о | п и ш у в а њ е т о | н е к а к о | с е | к о м п л и ц и р а | с о | п о т р е б а т а | д а | з н а е т е | д а л и | е д е н | г л а г о л | и л и | п р и д а в к а | с е | к о р и с т и | в о | и м е н с к а | ф о р м а |	151680	FEMALE
